,Brand,Model,Version,Location,Fuel_Type,Transmission,Owner_Type,Year,Kilometers_Driven,Power,Seats,Predicted Price
99,Hyundai,Elantra,CRDi SX,Kolkata,Diesel,Manual,First,2013,37489,126.24,5,5.744622642
100,Tata,Indica,V2 DiCOR DLG BS-III,Mumbai,Diesel,Manual,First,2016,98000,70,5,3.66490566
101,Tata,Nano,Lx,Hyderabad,Petrol,Manual,First,2012,25183,35,4,1.666792453
102,BMW,5,Series 2013-2017 520d Luxury Line,Bangalore,Diesel,Automatic,Second,2015,52100,190,5,27.5154717
103,Honda,Amaze,S i-Dtech,Pune,Diesel,Manual,First,2014,60000,98.6,5,4.973584906
104,Volkswagen,Polo,Diesel Highline 1.2L,Kolkata,Diesel,Manual,First,2013,51000,73.9,5,2.870754717
105,Tata,Indica,Vista Quadrajet LX,Mumbai,Diesel,Manual,First,2012,70000,74,5,3.422735849
106,Audi,Q3,30 TDI S Edition,Jaipur,Diesel,Manual,First,2015,95000,138.13,5,15.10971698
107,Honda,City,i DTEC SV,Jaipur,Diesel,Manual,First,2014,66346,98.6,5,6.017358491
108,Honda,Amaze,SX i-DTEC,Hyderabad,Diesel,Manual,First,2015,69150,98.6,5,5.23490566
109,Hyundai,i20,Asta Option 1.2,Bangalore,Petrol,Manual,First,2016,31000,81.83,5,4.965377358
110,BMW,5,Series 2013-2017 520d Luxury Line,Bangalore,Diesel,Automatic,Second,2013,49000,190,5,18.52330189
111,Honda,Brio,S MT,Kochi,Petrol,Manual,First,2014,63058,86.8,5,4.246509434
112,Mercedes-Benz,New,C-Class C 250 CDI Avantgarde,Delhi,Diesel,Automatic,First,2016,22000,201.15,5,36.89688679
113,Volkswagen,Polo,1.2 MPI Highline,Coimbatore,Petrol,Manual,First,2015,73026,74,5,5.61009434
114,Hyundai,i10,Magna AT,Coimbatore,Petrol,Automatic,Second,2011,21762,80,5,3.893301887
115,Hyundai,Verna,1.6 SX VTVT,Coimbatore,Petrol,Manual,First,2018,29738,121.3,5,10.1290566
116,Hyundai,i20,1.2 Magna Executive,Mumbai,Petrol,Manual,First,2018,16053,81.83,5,6.369339623
117,BMW,5,Series 525d Sedan,Kochi,Diesel,Automatic,First,2012,61665,218,5,22.7745283
118,Maruti,Swift,Dzire Vdi BSIV,Delhi,Diesel,Manual,First,2015,51000,73.9,5,4.785943396
119,Honda,BRV,i-DTEC V MT,Bangalore,Diesel,Manual,First,2016,34820,98.6,7,6.162735849
120,Maruti,Ertiga,VXI,Mumbai,Petrol,Manual,First,2018,12000,91.1,7,9.093301887
121,Maruti,Swift,Dzire VDI Optional,Hyderabad,Diesel,Manual,First,2017,32287,74,5,6.213301887
123,BMW,X3,xDrive20d,Coimbatore,Diesel,Automatic,First,2015,74485,184,5,23.25679245
124,Chevrolet,Beat,Diesel LS,Chennai,Diesel,Manual,First,2011,63000,57.6,5,2.086226415
125,Audi,Q3,30 TDI Premium FWD,Coimbatore,Diesel,Automatic,First,2018,53190,147.51,5,25.23113208
126,Mercedes-Benz,GL-Class,2007 2012 350 CDI Luxury,Bangalore,Diesel,Automatic,First,2016,26900,224,7,44.57283019
127,BMW,3,Series GT 320d Sport Line,Hyderabad,Diesel,Automatic,First,2015,40000,184,5,27.02443396
128,Hyundai,Grand,i10 Asta Option,Coimbatore,Petrol,Manual,First,2016,40587,82,5,5.694339623
129,Hyundai,Grand,i10 Asta,Hyderabad,Petrol,Manual,First,2015,27000,82,5,5.079811321
130,Toyota,Etios,Liva VD,Coimbatore,Diesel,Manual,First,2016,29108,67.04,5,4.36254717
131,Datsun,GO,T Petrol,Mumbai,Petrol,Manual,First,2015,18000,67,5,3.38990566
132,Maruti,Ignis,1.2 Alpha,Kolkata,Petrol,Manual,First,2017,10500,81.8,5,5.32990566
133,Maruti,A-Star,Zxi,Chennai,Petrol,Manual,Third,2009,60000,66.1,5,1.926132075
134,Honda,Civic,2010-2013 1.8 V AT Sunroof,Pune,Petrol,Automatic,Third,2011,61000,130.3,5,4.649811321
135,Maruti,Alto,800 LXI,Kolkata,Petrol,Manual,First,2017,5000,47.3,5,2.967075472
136,Jaguar,XE,2.0L Diesel Prestige,Pune,Diesel,Automatic,First,2018,24001,177,5,32.30801887
137,Hyundai,i20,1.4 CRDi Sportz,Hyderabad,Diesel,Manual,First,2011,76000,90,5,3.854528302
138,Ford,EcoSport,1.0 Ecoboost Titanium Plus,Hyderabad,Petrol,Manual,First,2014,56000,123.24,5,6.269622642
139,Mahindra,KUV,100 mFALCON G80 K4 5str,Mumbai,Petrol,Manual,First,2016,30000,82,5,4.683490566
140,Maruti,Vitara,Brezza VDi Option,Hyderabad,Diesel,Manual,First,2017,44263,88.5,5,8.498836478
141,Ford,Figo,Diesel ZXI,Hyderabad,Diesel,Manual,First,2011,97899,68,5,2.61509434
142,Volkswagen,Vento,Diesel Highline,Jaipur,Diesel,Manual,Second,2011,157301,103.6,5,3.893301887
144,Fiat,Avventura,FIRE Dynamic,Pune,Petrol,Manual,Second,2016,35000,88.8,5,6.244339623
145,Honda,Civic,2006-2010 1.8 V MT,Pune,Petrol,Manual,First,2009,106000,130,5,3.069339623
146,Honda,CR-V,Diesel,Kolkata,Diesel,Manual,First,2016,121590,148,5,18.95830189
147,Maruti,Wagon,R LXI,Delhi,Petrol,Manual,First,2012,64692,67.04,5,2.595849057
148,Hyundai,i10,Magna,Mumbai,Petrol,Manual,First,2010,41000,78.9,5,2.718962264
149,Volkswagen,Ameo,1.5 TDI Highline AT,Coimbatore,Diesel,Automatic,First,2018,25143,108.495,5,11.81254717
150,Volkswagen,Vento,Diesel Highline,Ahmedabad,Diesel,Manual,First,2011,51000,103.6,5,3.856981132
151,Hyundai,Accent,CRDi,Pune,Diesel,Manual,Second,2005,109000,82,5,1.238396226
152,Ford,Ecosport,1.5 DV5 MT Titanium Optional,Kochi,Diesel,Manual,First,2015,69062,89.84,5,6.051132075
153,Jaguar,XF,2.2 Litre Luxury,Kochi,Diesel,Automatic,First,2015,34386,187.7,5,28.09367925
154,Maruti,Baleno,Alpha 1.2,Delhi,Petrol,Manual,First,2016,20185,83.1,5,6.112830189
155,Hyundai,Grand,i10 CRDi Magna,Hyderabad,Diesel,Manual,First,2013,41585,70,5,3.605943396
156,Hyundai,EON,Era,Kolkata,Petrol,Manual,First,2011,24000,55.2,5,1.845754717
157,Mercedes-Benz,E-Class,2015-2017 E250 Edition E,Bangalore,Diesel,Automatic,First,2016,40000,204,5,32.79971698
158,Mercedes-Benz,M-Class,ML 350 4Matic,Bangalore,Diesel,Automatic,First,2012,37000,165,5,21.95783019
159,Ford,EcoSport,1.5 Diesel Titanium,Chennai,Diesel,Manual,First,2015,67630,98.96,5,6.473679245
160,Maruti,Celerio,VXI AT,Coimbatore,Petrol,Automatic,First,2016,24192,67.04,5,4.433584906
161,Maruti,Vitara,Brezza VDi Option,Hyderabad,Diesel,Manual,First,2017,32248,88.5,5,8.683301887
162,Mahindra,Xylo,E9,Mumbai,Diesel,Manual,First,2013,28000,120,8,7.792264151
163,Hyundai,Creta,1.6 SX Automatic,Kochi,Petrol,Automatic,First,2018,36471,121.3,5,10.79198113
164,Honda,Mobilio,V i VTEC,Kochi,Petrol,Manual,First,2015,69689,117.3,7,6.92745283
165,Mercedes-Benz,GL-Class,350 CDI Blue Efficiency,Kochi,Diesel,Automatic,First,2015,69095,254.8,7,45.3359434
166,Hyundai,i20,Magna,Kolkata,Petrol,Manual,First,2010,46000,80,5,1.985471698
167,Mercedes-Benz,S,Class 2005 2013 S 350 L,Mumbai,Petrol,Automatic,Third,2008,65000,364.9,5,13.00518868
168,Volkswagen,Vento,1.5 TDI Highline,Chennai,Diesel,Manual,First,2015,119258,108.5,5,7.279528302
169,Mercedes-Benz,E-Class,E250 CDI Avantgrade,Bangalore,Diesel,Automatic,First,2015,38339,201.1,5,30.06
170,Toyota,Etios,V,Mumbai,Petrol,Manual,First,2012,59503,88.73,5,3.816320755
171,Tata,Indica,Vista Aqua TDI BSIII,Chennai,Diesel,Manual,Third,2010,93600,71,5,2.132641509
172,Volkswagen,Passat,1.8 TSI MT,Coimbatore,Petrol,Manual,First,2011,58865,160,5,4.966415094
173,Maruti,Alto,LXi,Coimbatore,Petrol,Manual,First,2012,64631,46.3,5,2.623018868
174,Skoda,Laura,1.9 TDI MT Elegance,Pune,Diesel,Manual,Second,2007,124298,105,5,2.147924528
175,Maruti,Wagon,R LX,Jaipur,Petrol,Manual,Second,2003,50000,67.1,5,1.120188679
176,Nissan,Sunny,2011-2014 Diesel XV,Kolkata,Diesel,Manual,First,2013,40001,84.8,5,3.707641509
177,Honda,Brio,VX,Bangalore,Petrol,Manual,First,2015,62659,86.8,5,4.612830189
178,Hyundai,i10,Sportz,Kochi,Petrol,Manual,First,2014,68138,78.9,5,4.458207547
179,Mercedes-Benz,M-Class,ML 250 CDI,Mumbai,Diesel,Automatic,First,2014,34000,203.2,5,28.30716981
180,Volkswagen,Vento,Petrol Comfortline,Mumbai,Petrol,Manual,First,2013,67000,103.6,5,4.402075472
181,Honda,Mobilio,S i DTEC,Delhi,Diesel,Manual,First,2015,64141,98.6,7,6.111603774
182,Maruti,Alto,LXI,Kolkata,Petrol,Manual,First,2019,1000,47.3,5,3.358773585
183,Mercedes-Benz,E-Class,E250 CDI Avantgrade,Mumbai,Diesel,Automatic,First,2013,42000,201.1,5,22.12660377
184,Honda,City,ZX VTEC Plus,Coimbatore,Petrol,Manual,Third,2009,76677,100,5,2.310188679
185,Audi,A8,L 3.0 TDI quattro,Kochi,Diesel,Automatic,First,2013,66848,246.7,5,29.28783019
186,Hyundai,Santro,Xing GL,Ahmedabad,Petrol,Manual,First,2007,78000,62,5,1.337924528
187,Maruti,Swift,Dzire VDi,Delhi,Diesel,Manual,First,2010,111166,73.9,5,3.422169811
188,Hyundai,Verna,CRDi ABS,Chennai,Diesel,Manual,First,2007,76000,110,5,2.98
189,Audi,Q5,2008-2012 2.0 TDI,Coimbatore,Diesel,Automatic,First,2012,94049,167.6,5,17.23820755
190,BMW,X1,sDrive20d,Ahmedabad,Diesel,Automatic,First,2014,47000,184,5,26.71235849
192,Tata,Nano,XT,Delhi,Petrol,Manual,First,2015,20047,37.48,4,1.984245283
193,BMW,7,Series 730Ld DPE Signature,Chennai,Diesel,Automatic,First,2017,16000,261.49,5,56.92886792
194,Honda,Brio,1.2 S MT,Chennai,Petrol,Manual,First,2012,27000,86.8,5,3.401603774
195,Maruti,Alto,800 2016-2019 LXI,Mumbai,Petrol,Manual,First,2018,1001,47.3,5,3.641132075
196,Hyundai,i20,1.2 Sportz,Kolkata,Petrol,Manual,First,2010,89312,80,5,2.133773585
198,Renault,Duster,110PS Diesel RxZ,Pune,Diesel,Manual,Second,2012,93000,108.45,5,5.608490566
199,Maruti,Swift,Dzire VDI,Kolkata,Diesel,Manual,First,2013,48000,74,5,3.269433962
200,Maruti,Dzire,ZDI,Coimbatore,Diesel,Manual,First,2014,64917,73.75,5,5.378018868
201,Honda,City,i VTEC V,Jaipur,Petrol,Manual,First,2017,19678,117.3,5,10.74679245
202,Jaguar,XF,Diesel,Kolkata,Diesel,Automatic,First,2014,12000,270.9,5,44.85783019
203,BMW,3,Series 320d Luxury Line,Delhi,Diesel,Automatic,First,2014,41309,184,5,23.75754717
204,BMW,3,Series Luxury Line,Coimbatore,Diesel,Automatic,First,2018,25038,190,5,36.73518868
205,Chevrolet,Beat,Diesel LS,Coimbatore,Diesel,Manual,First,2016,68673,56.3,5,3.667735849
206,Mercedes-Benz,New,C-Class C 220d Avantgarde Edition C,Coimbatore,Diesel,Automatic,First,2018,26343,167.62,5,36.50962264
207,Maruti,Omni,E 8 Str STD,Bangalore,Petrol,Manual,Fourth & Above,2005,81245,34.2,8,1.992358491
208,Nissan,Micra,Diesel XV,Delhi,Diesel,Manual,First,2012,62100,63.1,5,2.867169811
209,Volkswagen,Vento,Petrol Highline,Pune,Petrol,Manual,First,2013,104000,103.6,5,4.445754717
210,Audi,A6,2011-2015 2.0 TDI Premium Plus,Coimbatore,Diesel,Automatic,First,2014,114831,174.33,5,20.265
211,Fiat,Linea,Dynamic,Mumbai,Petrol,Manual,First,2010,46000,88.7,5,2.090849057
212,Hyundai,Verna,1.6 SX,Jaipur,Diesel,Manual,First,2014,80000,126.32,5,7.135377358
213,Hyundai,i20,Active 1.2 S,Kolkata,Petrol,Manual,First,2016,9201,81.86,5,4.534528302
214,Honda,Brio,V MT,Kochi,Petrol,Manual,First,2013,55311,86.8,5,3.715849057
215,Honda,Mobilio,RS Option i DTEC,Coimbatore,Diesel,Manual,First,2015,58217,98.6,7,6.258301887
216,Mitsubishi,Pajero,Sport 4X4,Delhi,Diesel,Manual,First,2013,70655,175.56,7,14.42997642
217,Hyundai,i10,Magna,Kolkata,Petrol,Manual,First,2015,46000,78.9,5,4.152358491
218,Tata,Manza,Club Class Quadrajet90 LS,Pune,Diesel,Manual,First,2014,125000,88.8,5,5.132358491
219,Renault,Duster,Adventure Edition,Mumbai,Diesel,Manual,First,2014,59000,108.45,5,6.738962264
220,Hyundai,Verna,CRDi 1.6 AT SX Plus,Mumbai,Diesel,Automatic,Second,2013,66000,126.2,5,8.035660377
221,Maruti,Ritz,VDi,Hyderabad,Diesel,Manual,First,2009,82242,73.9,5,2.82418239
222,Toyota,Innova,2.5 V Diesel 8-seater,Hyderabad,Diesel,Manual,First,2012,107281,102,8,10.155
223,Tata,Sumo,EX 10/7 Str BSII,Chennai,Diesel,Manual,Second,2015,196000,68,10,4.366981132
224,Audi,Q3,35 TDI Quattro Premium Plus,Ahmedabad,Diesel,Automatic,First,2015,75000,181,5,22.50216981
225,Fiat,Grande,Punto 1.2 Emotion,Kolkata,Petrol,Manual,First,2011,11791,68,5,1.874811321
226,Hyundai,Elantra,SX,Ahmedabad,Petrol,Manual,First,2013,46000,147.5,5,8.616981132
227,Volkswagen,Polo,Diesel Trendline 1.2L,Pune,Diesel,Manual,Second,2011,81000,73.9,5,2.518176101
228,Toyota,Etios,Cross 1.2L G,Coimbatore,Petrol,Manual,First,2015,46950,78.8,5,5.391603774
229,Hyundai,Grand,i10 Asta Option,Chennai,Petrol,Manual,First,2017,18000,82,5,6.241981132
230,Mahindra,Scorpio,S4 7 Seater,Coimbatore,Diesel,Manual,First,2016,95942,120,7,8.514528302
231,Maruti,Ciaz,VXi Plus,Kochi,Petrol,Manual,First,2016,42925,91.1,5,7.029811321
232,Ford,Figo,Petrol Titanium,Hyderabad,Petrol,Manual,First,2014,33750,70.02,5,3.749716981
233,Mini,Cooper,S,Mumbai,Petrol,Automatic,First,2016,14000,181,4,30.81704403
234,Hyundai,Creta,1.6 CRDi SX,Bangalore,Diesel,Manual,First,2015,29000,126.2,5,10.66179245
235,Mahindra,XUV500,W8 2WD,Kochi,Diesel,Manual,First,2015,67365,140,7,13.45566038
236,Mahindra,XUV500,W8 2WD,Coimbatore,Diesel,Manual,First,2014,67791,140,7,9.530849057
237,Mahindra,Thar,CRDe AC,Hyderabad,Diesel,Manual,First,2016,20000,105,6,8.113490566
238,Maruti,Swift,Dzire VDi,Jaipur,Diesel,Manual,Second,2011,90198,73.9,5,3.204213836
239,Hyundai,i10,Sportz 1.1L,Pune,Petrol,Manual,First,2010,77000,68.05,5,2.392169811
240,Maruti,Ciaz,VXi,Kochi,Petrol,Manual,First,2017,42520,91.1,5,8.318789308
241,Maruti,Wagon,R LXI DUO BSIII,Jaipur,LPG,Manual,First,2009,87829,57.5,5,1.572924528
242,Maruti,Baleno,Delta CVT,Ahmedabad,Petrol,Automatic,First,2017,21701,83.1,5,7.839150943
243,Maruti,Alto,LX BSIII,Coimbatore,Petrol,Manual,First,2008,86033,46.3,5,1.741509434
244,Hyundai,Xcent,1.2 Kappa S Option,Mumbai,Petrol,Manual,First,2015,25000,81.86,5,4.517641509
245,Toyota,Corolla,Altis Diesel D4DG,Kolkata,Diesel,Manual,First,2011,45000,87.2,5,3.12009434
246,Volkswagen,Polo,Petrol Highline 1.2L,Coimbatore,Petrol,Manual,First,2018,22987,73.9,5,6.694339623
247,Hyundai,i10,Era,Jaipur,Petrol,Manual,First,2009,48725,68.05,5,1.990566038
248,Hyundai,Grand,i10 1.2 Kappa Sportz,Hyderabad,Petrol,Manual,First,2013,42500,81.86,5,4.510566038
249,Hyundai,Verna,1.6 SX VTVT (O) AT,Mumbai,Petrol,Automatic,First,2014,35000,121.4,5,5.975306604
250,Ford,Fiesta,1.4 SXi TDCi ABS,Bangalore,Diesel,Manual,Second,2014,56000,68,5,3.818867925
251,Tata,Xenon,XT EX 4X2,Hyderabad,Diesel,Manual,First,2014,10000,138.03,5,8.527169811
252,Maruti,Alto,K10 2010-2014 VXI,Mumbai,Petrol,Manual,First,2010,15669,67.1,5,2.361981132
253,Audi,A6,2011-2015 35 TDI Premium,Kochi,Diesel,Automatic,First,2016,55331,174.33,5,24.9445283
254,Renault,Duster,85PS Diesel RxL Optional,Pune,Diesel,Manual,First,2015,44535,83.8,5,6.011415094
